Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	Murciélago, el gran pescador, representa a los animales que se sacrifican en el altar.	Mbopi pytã guasu (karaiñe'ẽ: Murciélago pescador grande, lasioñe'ẽ: Noctilio leporinus) mymba okambúva.
Wikipedia 	Mba'echae (tradicional).	Mba'echae (tradicional).
Wikipedia 	Inició que la segunda región del Paraguay está bastante desigual, oriental y occidental.	Oipehe'ã Paraguái mokõiha región ojehechaporãva ojoavýva, oriental ha occidental.
Wikipedia 	Por su parte, Paraguay estaba reunido en una Junta de Gobierno que había presidido el prócer Fulgencio Yegros, bajo la forma de Fernando de la Mora como vocal secretario.	Paraguái isãsparire katu oñembyaty kuri peteĩ Junta de Gobierno omyakã va'ekue prócer Fulgencio Yegros, Fernando de la Mora gui oiko vocal secretario.
Wikipedia 	Subimos a la parte más alta del cielo, donde está el trono de la Majestad, y juzgamos todas las cosas.	Jajupi pavo Tupãsy rendápe jajepepy ñama'ẽ hagua pe yvytýre ha jajuhu ko mba'e ipopenóva, ojero'a ha ho'áta vaicha ñande ári.
Wikipedia 	De l’État.	De l'État.
Wikipedia 	En el año 1986 vino la hermana de Villania, que era cocinera de la iglesia, y comió los panes consagrados a Dios. Y los panes se los dio a los hijos de Filipos.	1986: Iya Villania, mba'eapohára, opurahéiva, ha ojerokykuaáva Auterália pegua-Filipína pegua.
Wikipedia 	Varios centenares de enviados desde Paraguay hasta Ñemby.	Hetaiterei mba'yruguatakuéra oho ha oúva táva Paraguay guive Ñemby peve.
Wikipedia 	Timothy Ferris (06-12-2011).	Timothy Ferris (06-12-2011).
Wikipedia 	1910: Jean Anouilh, escritor argentino (la muerte en el año 1987).	1910: Jean Anouilh, tembiasagua'u haihára Hyãsiagua (ñemano ary 1987).
Wikipedia 	En la parte alta se siembra maíz, algodón, mandioca, caña de azúcar, pechuga, poroto, ka'a, café, frutas y también se siembran parales.	Kokuépe katu oñeñotỹ avati, mandyju, mandi'o, takuare'ẽ, petỹ, kumanda, ka'a, café, yvakuéra, ha avei oñeñotỹ parral.
Wikipedia 	Mucha gente lo amaba y le daba todo lo que quería.	Heta tapicha ohayhu añetéva chupe ome'ẽ chupe imaiteipaha.
Wikipedia 	Tuguy guaraní siguió su camino por su territorio, y a pesar de su nacimiento en Asunción creció en la ciudad de San Lorenzo y cuando tenía 7 años, murió su padre y empezó a trabajar como pastor de 12 años.	Tuguy guaraní osyry hetére, ha´e heñóiramo jepe Paraguaýpe okakuaá tava San Lorenzope ha oguerekóramo guare 7 ary, omano chugui itúva ha ha´e oikotevẽtereígui oñepyrũ omba´apo tembijokuái ramo 12 ary ohupytyguive.
Wikipedia 	En Asunción, Paraguay: Centro Repregráfico Plurinacional, 1999.	Paraguaýpe, Paraguay: Centro Reprográfico Saúl, 1999.
Wikipedia 	y no por medio de la fuerza de su propia voluntad, sino por medio de su propia debilidad, mediante el poder de una vida indestructible.	Hekove puku ñorairõháme ndaha'éi ikatupyry rupi ñorairõme, imbarete térã ipo'a, umi ambue hapicháicha, katu ohaiporãiterei rupi.
Wikipedia 	1866: Leon Bakst, pintor y diseñador de modas de ruso (la muerte del año 1933).	1866: Léon Bakst, pintor ha diseñador de modas ruso (ñemano ary 1924).
Wikipedia 	En la ciudad viven 7.927 personas, y en el campo 21.170.	Pe tavaitépe oiko 7.927 tapicha ha okaháre katu 21.170.
Wikipedia 	Se lleva a cabo la Evaluación Ecológica de la Rápida, cuyo cultivo se conoce como la Cuaresma de los Años o de los Planes de la Carnicería.	Ojejapo peteĩ ojeheróva Evaluación Ecológica Rápida, oñeñe'ẽháme mboy ary térã mba'eichagua yvy oĩha upe rupi, avei mymba ha ka'avo aty rehegua, pe mboi yaguá (eunectes murinus) ha drosera (planta carnívora).
Wikipedia 	El Esclavo no sabe adónde fue llevado ni quién lo llevó.	Tembiguái ndoikuaái moõitépa ojeraha ha mávapa oguerahákuri chupe.
Wikipedia 	No se trata de una cuestión de conciencia.	Ndaha'éi ku ojoavyguasúva kyguáigui.
Wikipedia 	1975: Leroy Anderson, el compositor de la Constitución de 1908.	1975: Leroy Anderson, compositor Tetã peteĩ reko Amérikagua pegua (ary reñói 1908).
Wikipedia 	CÁNTICOS: Ramón López Vellarde, idioma de la zona del euro (artículo 1888).	1921: Ramón López Velarde, ñe'ẽpapára Méhiko pegua (ary reñói 1888).
Wikipedia 	Vivió en la zona de Paraguazú, a orillas del ⁇ , en los países de Chile y ⁇ .	Oikove Paraguasu Py'aguapýpe, Ñembyamérika rembe'y kuarahyreike, tetã Chile ha tetã Perũme.
Wikipedia 	Los animales y sus patas están cerca de la cabeza, con un montón de colmillos: las jabalinas son ocho y los náutilos son 90.	Ko'ã mymba ijyvakuéra (térã ipykuéra) oĩ iñakã ykére, ijyva hetaite: umi javevyirana hína ijyva poapy, ha umi náutilo hína ijyva 90.
Wikipedia 	Le entregaron los ríos Jejuimi y Jejuí Guasu, además de Aguaray.	Ome'ẽ chupe y ysyrykuéra Jejuimi ha Jejuí Guasu, avei Aguaray.
Wikipedia 	También escribió "La Razón" de Buenos Aires, "El Radical", "ABC" y "Comunidad de Asunción".	Avei ohai "La Razón" de Buenos Aires, "El Radical", "ABC" y "Comunidad de Asunción".
Wikipedia 	1965: Red Nichols, cornetista y escritor de música ⁇  Claudia de jazz (y nacida en 1926).	1965: Red Nichols, cornetista ha purahéi haihára Tetãvore Joapykuéra pegua de jazz (ary heñói 1905).
Wikipedia 	Todos los que están en Cristo II Apona han llegado a tu atardecer y tú no eres ningún dios, ningún dios, ningún Pirapi, ningún dios, ninguno de los cuales reemplazará a Mamóiko que estás en Cristo.	Mamóiko reime Kirito II Aipóna oguahẽ ne aramboty Ha nde nereiméi Ñorairõ, kate, tesarái, Pirapire, tarova, Ko'ãva nemyengovia Mamóiko reime Kirito.
Wikipedia 	El testamento de un anciano es un cordero, que fue sacrificado hace 67.000 años.	Tembipu tujavéva ojejuhu ha'e niko peteĩ mimby, ojeipurúva peteĩháme amo 67.000 ary ojapo.
Wikipedia 	1971: « Justin, el hijo de David.	1971: Justin Henry, mba'eapohára Tetã peteĩ reko Amérikagua pegua.
Wikipedia 	Aquí también se menciona el mensu.	Péape oje'e va'ekue avei mensu.
Wikipedia 	1902: Francisco García Lorca, vocero, profesor, diplomático, escritor (murió en 1973) 1903: Alf Sjöberg, director de la Suésia de Tapia y de teatro (quien murió en 1980).	1902: Francisco García Lorca, ñe'ẽpapára, profesor, diplomático, haihára (ary omano 1973) 1903: Alf Sjöberg, motenondehára Suésia pegua ta'angamýigui ha de teatro (ary omano 1980).
Wikipedia 	12 Minutos 2016 15:00 - Tuyhika 0-1 Kyoasia 13 ⁇  2016 15:00 - 1-0 Chekia 17 ⁇  2016 18:00 - Kyoasia 2-2 Chekia 17 ⁇  2016 21:00 - Chekia 0-0 Tuykia 21 ⁇  2016 21:00 - Kyoasia 0-2 Tuyhua 21 ⁇  2016 18:	12 Jasypoteĩ 2016 15:00 - Tuykia 0-1 Kyoasia 13 Jasypoteĩ 2016 15:00 - Epáña 1-0 Chekia 17 Jasypoteĩ 2016 18:00 - Kyoasia 2-2 Chekia 17 Jasypoteĩ 2016 21:00 - Epáña 3-0 Tuykia 21 Jasypoteĩ 2016 21:00 - Chekia 0-2 Tuykia 21 Jasypoteĩ 2016 21:00 - Kyoasia 2-1 Epáña 13 Jasypoteĩ 2016 18:00 - Eirelándia 1-1 Suesia 13 Jasypoteĩ 2016 21:00 - Véyhika 0-2 Italia 17 Jasypoteĩ 2016 15:00 - Suesia 0-1 Italia 18 Jasypoteĩ 2016 15:00 - Véyhika 3-0 Eirelándia 22 Jasypoteĩ 2016 21:00 - Italia 0-1 Eirelándia 22 Jasypoteĩ 2016 21:00 - Suesia 0-1 Véyhika 25 Jasypoteĩ 2016 15:00 - Suisa 1-1 (4-5 pen.)
Wikipedia 	En la samba aparecieron muchas otras fiestas artísticas: la Bossa Nova y el ejemplo de Pagode.	Sámbagui osẽ heta Pindoráma mba'epuporã ha jeroky ambuéva: Bossa Nova ha Pagode techapyrãme.
Wikipedia 	2015: Denis Martin, piloto de la nave Argentina de automovilismo de velocidad (apartado 1991) 2016: Rubén Aguirre, catalán, humorista y productor de la zona de ⁇  (apartado 1934).	2015: Denis Martin, piloto Argentina pegua de automovilismo de velocidad (ary reñói 1991) 2016: Rubén Aguirre, mba'eapohára, humorista ha productor Méhiko pegua (ary reñói 1934).
Wikipedia 	Se encuentra a unos 60 kilómetros de la ciudad de Pilar, caminando sobre el terreno.	Opyta 60 kilómetro táva Pilar-gui, jahárõ tape yvýrupi.
Wikipedia 	2006: Jaroslav Pelikán, un ⁇  de ⁇ .	2006: Jaroslav Pelikan, historiador Tetã peteĩ reko Amérikagua pegua (ary reñói 1923).
Wikipedia 	1984: La plaza de Aubrey, con sede en ⁇ .	1984: Aubrey Plaza, mba'eapohára Tetãvore Joapykuéra pegua.
Wikipedia 	El Tebicuario de Chernobyl tiene 235 km. de diámetro, cayó a los 23o 30  ⁇  de Latitud Sur; desde hace mucho tiempo, el fuego desbordó el ⁇  de Ñeembucú y sus zonas rurales, debido a las misiones jesuíticas.	Ysyry Tebikuary oguereko 235 km ipukukue, ho'a hi'y a los 23º 30¨ de Latitud Sur; yma guive ojeipuru mbojuajúpe tetãvore Ñeembucú ha umi ha yvy okaháregua, pe misiones jesuíticas oĩha rupi.
Wikipedia 	Menos mal que se trata de un fenómeno que ya se ha abierto a la historia, y que hoy en día tiene un costo muy bajo.	Omembe'u máva manógui ojepe'áva hembiasa, ha ijepe'a monógui ára ha ára.
Wikipedia 	Por ejemplo: Mi amigo Chive: Te escribo...	Techapyrã: Che angirũ Chive: Ahai ndéve ko kuatiañe'ẽ...
Wikipedia 	La gran preocupación viene de la comunidad.	Avano'õ jekakuaa ou meme tekohatyai ndive.
Wikipedia 	Un pórtico semejante tenía un pórtico llamado « T », y los tres persiguieron a uno y a otro lado.	Koichagua terópe ysaja'ypy oñepyrũ "T"-pe, ha umi mbohapy ysajapurúgui mokõi oñepyrũ "R" ha "H"-pe.
Wikipedia 	El miércoles: Jorge Chávez (23), el aviador de la zona del Perú (quien murió: 1910).	1887: Jorge Chávez (23), aviador Peru pegua (ary omano: 1910).
Wikipedia 	Halley es el único que se erige en el centro de la atención en un corto espacio de tiempo y que puede verse en el rostro de la Tierra, y en el del escritor de la opinión pública Mark Twain se encuentra en la segunda vuelta de la historia de Halley, entre 1835 y 1910.	Halley ha'e año upe tataveve ojeréva sapy'apy'a ha ikatu ojehecha tesáre ñende Yvy guive, ha tataveve año ikatu ojehecha mokõi jey peteĩ yvypóra rekovépe (techarãme, upe karai haihára Tetã peteĩ reko Amérikagua pegua heraha Mark Twain henói ha mano ojejuhu amo Halley jehasápe, ary 1835 ha 1910).
Wikipedia 	Theguardian.com.	Theguardian.com.
Wikipedia 	Nos tratan como a desconocidos, a pesar de que somos bien conocidos y de que tenemos tan grande nube de testigos a nuestro alrededor que nos hace oír su voz,	Oñemondéma hikuái ñande ñañemondeháicha, ha avei oikuaáma ha oñemomba'éma ñande jepokuaáre, ñande jeroviakatúre, ñane ñe'ẽre hamba'e.
Wikipedia 	En Villa Hayes está la usina marginal ACEPAR "Aceros del Paraguay".	Villa Hayes-pe oĩ pe usina siderúrgica ACEPAR "Aceros del Paraguay".
Wikipedia 	1969: John Scalzi, escritor de ciencia ficción y bloguero de la Patria.	1969: John Scalzi, haihára de ciencia ficción ha bloguero Tetã peteĩ reko Amérikagua pegua.
Wikipedia 	Cuando estaba en la tierra, sus padres lo labraron con sus propias manos; y la tierra fue segada por dos años.	Imitã ramo gueteri, ojapo haguéicha heta mitãrusu ijavegua, oike política-pe, ha upekuére oñemosẽ hetãgui mokõipa ary rasa.
Wikipedia 	1980: Nicolae Dic ⁇ , el verdadero zapato del rumano.	1980: Nicolae Dică, vakapipopo ha'ãhára rumano.
Wikipedia 	Entre ellos se destacan los rostros pintados y los rostros hinchados.	Ijavateekuéra apytépe ojehechakuaa tovara'anga ha lampíũ rendy.
Wikipedia 	Esta ciudad está bajo el Río Apa.	Ko tavaguasúpé oime Río Apa.
Wikipedia 	Entonces le gritaron: - ¡Levántate!	Upéi osapukái hikuái chupe: -Eñembo'y.
Wikipedia 	Finalmente, Rabia se puso a trabajar con cáscara de perro.	Tapichápe, Rabia oñepyrũve jagua su'upy rupive.
Wikipedia 	1714: Sofía de Wittelsbach, la princesa bávara (a las 19: 1630).	1714: Sofía de Wittelsbach, princesa bávara (ary reñói: 1630).
Wikipedia 	1988: Mae Whitman, la hermana de ⁇ .	1988: Mae Whitman, mba'eapohára Tetãvore Joapykuéra pegua.
Wikipedia 	2008: Esteban Mellino, comediante de la Argentina (alrededor de 1933: 1945).	2008: Esteban Mellino, mba'eapohára ha comediante Argentina pegua (ary reñói: 1945).
Wikipedia 	Por su parte, nuestros compatriotas demostraron su gran paciencia, fortaleza y amor a su patria.	Mokõivépente ñane retã guarinikuéra ohechauka hikuái ipy'aguasu, imbarete ha hetã rayhu añetete.
Wikipedia 	En el mismo, la democracia significa que los Ciudadanos Eligen a los ciudadanos o a los ciudadanos, es decir, a los hombres o a las mujeres Ciudadanos y Musulmanes, que tienen a la humanidad como patria.	Ha'etehápe, jekopytyjoja he'ise tetãygua oiporavo mba'épa ojapo Tetã térã oiporavo imburuvicharã, he'ise opa kuimba'e térã kuña tetãygua ijoja ha hekosãsóva, orekoha hikuái yvypóra tekoiterape ha Tetã oñangareko hesekuéra.
Wikipedia 	1992: El testamento de Diego era el testamento de la Argentina;	1992: Diego Ftacla, vakapipopo ha'ãhára Argentina pegua.
Wikipedia 	Retá Paraguay.	Che Retá Paraguay.
Wikipedia 	CS: Jack Steinberger, físico del genoma humano, premio nobel de física en 1988.	1921: Jack Steinberger, físico germano-Tetã peteĩ reko Amérikagua pegua, premio nobel de física en 1988.
Wikipedia 	Schleicher dijo que el primero se puede colocar dentro del tercer pilar: Las palabras que los autores de la carta pronuncian (lenguas aislados o monosilabicas), entre ellas, están las que se refieren a las palabras de cada uno de ellos (Fu – Man – Chu).	Schleicher he'íkuri ñe'ẽte ikatuha oñemohenda mbohapýpe, kóicha: Ñe'ẽnguéra iñe'ẽpehẽteĩva (lenguas aislantes o monosilábicas), ko'ãva apytépe oĩ chinañe'ẽ, iñe'ẽpehẽteĩteĩva (Fu – Man – Chu).
Wikipedia 	Bruno 2004 - Ódiquê?...	Bruno 2004 - Ódiquê? ....
Wikipedia 	En Wikimedia Commons tiene una imagen de la Brigada Militar.	Wikimedia Commons oguereko ta'ãnga Brigada Militar reheguaCommons.
Wikipedia 	Paraguay tiene 42 zonas protegidas, las cuales son: Parque Nacional Defensores del Chaco Parque Nacional Tte.	Paraguái oguereko 42 tenda oñangarekoha (áreas silvestres protegidas), ko'ãva ha'e: Parque Nacional Defensores del Chaco Parque Nacional Tte.
Wikipedia 	Se le convocó para que así pueda llegar a un lugar adecuado en el que toda la gente pueda evitar ser desplazada y llegar a ese lugar, ya que se encuentra en un antiguo sitio que anteriormente era el Cabildo, la Justicia y el Regimiento, una institución colonial española de América y que había llegado a la ciudad del primer enclave ciudadano de la región rioplante.	Oñehenói upéicha hembipota ha'égui peteĩ tenda ikatu haguã mayma tapicha ani oñemboyke ha ikatúva oguahẽ upe tendápe ha péva oĩgui peteĩ tenda ymaite guive oiméva ha'eva'ekue Cabildo, Justicia ha Regimiento, kóva institución colonial española péva América-pe ha'eva'ekue pe oguahẽva ha omarkáva estatus tavaguasu primer enclave ciudadano región rioplatense-pe.
Wikipedia 	1674 personas salieron de San Pablo para ir a encontrar a indígenas que los estaban esclavizando al resto del país, encabezados por Francisco Pedrozo; estos, después de que Paraná se apoderó del Salto del Guaira, y causó el caos en la zona de Guaramba y Atyra, y también a los enfermos de Villarrika, pero la población de este país miente antes de llevar a los extranjeros a la zona desierta y	1674 osẽ San Pablo-gui tapicha aty oúva omoñuhávo indígena-kuérape oraha potávo chupekuéra tembiguáiramo tetã ambuépe, omyenondéva Francisco Pedrozo; ko'ãva, ohasa rire Paraná ojupi Salto del Guaira gotyo, ha ojapo sarambi yvy ojepysóva Guarambare ha Atyra pa'ũme ha avei umi hi'ag̃uíva Villarrika, katu tapichakuéra ko tavaygua og̃uahẽ mboyve umi pytagua isarambipáma ha ojaho'i tenda hasyhápe oike umi añara'y.
Wikipedia 	La siguiente es una ilustración de la situación en ⁇ : Salvador Díaz, Mirón,	1928: Salvador Díaz Mirón, ñe'ẽpapára Méhiko pegua.
Wikipedia 	Cita: Horacio Terra Arocena, el arquitecto de la planta.	1894: Horacio Terra Arocena, arquitecto uruguayo.
Wikipedia 	El vacío va desde 37 hasta 46 cm.	Ipukukue ha'ente 37 gotyo 46 cm.
Wikipedia 	En 1986 finalizó el doctorado haciendo tesis sobre el nazismo y el ⁇  en el Paraguay.	Ary 1986 omohu'ã doctorado ojapóvo tésis Nazismo y fascismo en el Paraguay.
Wikipedia 	En el Día de la Muerte se conmemoran todos los días de los muertos (2 Minutes) y también el sábado santo.	Mano Marangatúpe ojegueromandu'a opaite omanóva árape (2 jasypateĩ) ha avei arapokõi marangatúpe.
Wikipedia 	Hay 18 cargas de reciclaje y saneamiento.	Oĩ 18 yperana juehegua, ñemohendapyre.
Wikipedia 	1971: Marcos Saback, gato con un resultado positivo en el PIB.	1971: Marcos Saback, mbaraka ombopúva Pindoramagua.
Wikipedia 	En el año 2010 viven unos 271 ciudadanos.	Ary 2010-pe oiko amo 271 tavayguakuéra.
Wikipedia 	Cuando llegaron a la ciudad de Concepción, como a las once de la mañana, salió hacia la lancha llamada de Aquila.	Táva Concepción guive, araapy oguahẽvo, 11 aravo jave, osẽ pe lancha Aquidaban hérava.
Wikipedia 	Francisco José de Vargas estudió y obtuvo el título de académico originalmente en la Universidad Católica Ntra.	Francisco José de Vargas oike oñemoarandu ha oikókuri ichugui tekomo'ãhára Mbo'ehaovusu Católica Ntra.
Wikipedia 	Pindo u oroso es un árbol de altura y polvo, su nombre le cayó encima y le sacó el candelabro.	Pindo ndende térã koróso ha'e yvyramáta yvate ha po'i, hi'a héra ndende ha oñenohẽ chugui ndende ñandyry.
Wikipedia 	Mimba: felinos blancos, tatu, mborumi y mborevi.	Mymba: felinos saite, tatu, ñurumi ha mborevi.
Wikipedia 	Sin embargo, en 2010 Abc Color volvió a realizar otra pregunta (Titular) y salió exactamente igual.	2010pe katu, Abc Color onohẽ jeyma ambue porandu guasu (Titular) ha osẽ jey upeichaite.
Wikipedia 	 ⁇ : Hubert Humphmburuvichavete, el extinto fiscal de la zona del euro (muerto: 1978).	1911: Hubert Humphmburuvichavete, ojokuaikuaáva Tetãvore Joapykuéra pegua (ary omano: 1978).
